word,prob,freq,plural
acnes,36.96022233802327,,Plural
canes,36.96022233802327,,Plural
ousel,36.93590411672746,,
louse,36.93590411672746,,
aspen,36.92895605350009,,
napes,36.92895605350009,,Plural
panes,36.92895605350009,,Plural
lures,36.91853395865902,,Plural
rules,36.91853395865902,,Plural
trues,36.91505992704533,,Plural
saver,36.88726767413584,,
versa,36.88726767413584,,
raves,36.88726767413584,,Plural
avers,36.88726767413584,,Plural
robes,36.76220253604308,,Plural
bores,36.76220253604308,,Plural
sober,36.76220253604308,,
slake,36.727462219906194,,
leaks,36.727462219906194,,Plural
lakes,36.727462219906194,,Plural
kales,36.727462219906194,,Plural
takes,36.72398818829251,,Plural
skate,36.72398818829251,,
teaks,36.72398818829251,,Plural
steak,36.72398818829251,12124.0,
stake,36.72398818829251,26539.0,
goers,36.63713739795032,,Plural
gorse,36.63713739795032,,
gores,36.63713739795032,,Plural
ogres,36.63713739795032,,Plural
leafs,36.60587111342713,,Plural
fleas,36.60587111342713,,Plural
false,36.60587111342713,,
fates,36.60239708181344,,Plural
feast,36.60239708181344,,
feats,36.60239708181344,,Plural
cased,36.59892305019976,,
spade,36.56765676567656,,
manse,36.53986451276707,,
amens,36.53986451276707,,Plural
manes,36.53986451276707,,Plural
names,36.53986451276707,,Plural
means,36.53986451276707,,Plural
icers,36.50512419663019,,Plural
rices,36.50512419663019,,Plural
cries,36.50512419663019,,Plural
socle,36.5016501650165,,
close,36.5016501650165,139704.0,
coset,36.498176133402815,,
cotes,36.498176133402815,,Plural
lines,36.49470210178912,,Plural
liens,36.49470210178912,,Plural
stein,36.49122807017544,,
inset,36.49122807017544,,
poise,36.49122807017544,,
tines,36.49122807017544,,Plural
crest,36.48080597533438,,
prise,36.473857912107,,
spire,36.473857912107,,
piers,36.473857912107,,Plural
spier,36.473857912107,,
pries,36.473857912107,,Plural
lopes,36.47038388049331,,Plural
poles,36.47038388049331,,Plural
slope,36.47038388049331,15651.0,
pesto,36.46690984887962,,
poets,36.46690984887962,,Plural
poste,36.46690984887962,,
topes,36.46690984887962,,Plural
poset,36.46690984887962,,
estop,36.46690984887962,,
prest,36.44953969081119,,
strep,36.44953969081119,,
sonar,36.4460656591975,,
arson,36.4460656591975,,
roans,36.4460656591975,,Plural
ashen,36.43911759597013,,
wales,36.41132534306062,,Plural
weals,36.41132534306062,,Plural
waste,36.40785131144693,37529.0,
sweat,36.40785131144693,15505.0,
iotas,36.383533090151126,,Plural
rails,36.36963696369637,,Plural
rials,36.36963696369637,,Plural
liras,36.369636963696365,,Plural
liars,36.369636963696365,,Plural
lairs,36.369636963696365,,Plural
astir,36.36616293208268,,
sitar,36.36616293208268,,
stair,36.36616293208268,23001.0,
altos,36.362688900469,,Plural
lotsa,36.362688900469,,
irate,36.28278617335418,,
cause,36.27931214174048,170629.0,
sauce,36.27931214174048,28639.0,
later,36.26194198367205,274178.0,
alter,36.26194198367205,24900.0,
alert,36.26194198367205,,
razes,36.25151988883098,,Plural
pause,36.24804585721729,22805.0,
fores,36.22720166753518,,Plural
lyres,36.21330554108042,,Plural
slyer,36.21330554108042,,
tyres,36.20983150946674,,Plural
nosed,36.20983150946674,,
nodes,36.20983150946674,,Plural
treys,36.20983150946674,,Plural
rends,36.19246135139829,,Plural
nerds,36.19246135139829,,Plural
meads,36.17856522494354,,Plural
dames,36.17856522494354,,Plural
slide,36.1334028139656,30451.0,
delis,36.1334028139656,,Plural
sidle,36.1334028139656,,
idles,36.1334028139656,,Plural
tides,36.12992878235192,,Plural
edits,36.12992878235192,,Plural
sited,36.12992878235192,,
diets,36.12992878235192,,Plural
diest,36.12992878235192,,
deist,36.12992878235192,,
stied,36.12992878235192,,
banes,36.09518846621504,,Plural
beans,36.09518846621504,,Plural
emirs,36.08476637137398,,Plural
rimes,36.08476637137398,,Plural
mires,36.08476637137398,,Plural
roads,36.08476637137398,,Plural
miser,36.08476637137398,,
moles,36.08129233976029,,Plural
hades,36.07781830814661,,Plural
tomes,36.07781830814661,,Plural
heads,36.07781830814661,,Plural
motes,36.07781830814661,,Plural
shade,36.07781830814661,21457.0,
smote,36.07781830814661,,
terms,36.060448150078166,65413.0,Plural
sower,36.03265589716867,,
worse,36.03265589716867,,
swore,36.03265589716867,,
oared,36.001389612645475,,
adore,36.001389612645475,,
shire,35.98401945457704,,
heirs,35.98401945457704,,Plural
shier,35.98401945457704,,
hires,35.98401945457704,,Plural
holes,35.980545422963345,,Plural
those,35.97707139134966,964458.0,
ethos,35.97707139134966,,Plural
runes,35.872850442939026,,Plural
nurse,35.872850442939026,43524.0,
amuse,35.85895431648427,,
ileus,35.813791905506335,,Plural
capes,35.813791905506335,,Plural
space,35.813791905506335,177126.0,
paces,35.813791905506335,,Plural
suite,35.81031787389265,16164.0,
oases,35.79989577905159,,Plural
lutes,35.78947368421052,,Plural
rears,35.78252562098315,,Plural
rasae,35.78252562098315,,
sears,35.78252562098315,,Plural
areas,35.78252562098315,,Plural
arses,35.78252562098315,,Plural
erase,35.78252562098315,,
laves,35.76168143130102,,Plural
slave,35.76168143130102,31539.0,
vales,35.76168143130102,,Plural
veals,35.76168143130102,,Plural
salve,35.76168143130102,,
stave,35.758207399687336,,
based,35.733889178391514,,
beads,35.733889178391514,,Plural
sneak,35.68177870418621,15716.0,
snake,35.68177870418621,18993.0,
bries,35.640090324821955,,Plural
biers,35.640090324821955,,Plural
lobes,35.63661629320826,,Plural
besot,35.63314226159458,,
degas,35.608824040298764,,Plural
egads,35.608824040298764,,Plural
douse,35.52892131318395,,
loges,35.511551155115505,,Plural
legos,35.511551155115505,,Plural
ogles,35.511551155115505,,Plural
goest,35.50807712350182,,
cones,35.455966649296506,,Plural
scone,35.455966649296506,,
pones,35.42470036477332,,Plural
opens,35.42470036477332,,Plural
peons,35.42470036477332,,Plural
acmes,35.424700364773315,,Plural
maces,35.424700364773315,,Plural
beaus,35.41427826993225,,Plural
abuse,35.41427826993225,53777.0,
overs,35.38301198540907,,Plural
verso,35.38301198540907,,
roves,35.38301198540907,,Plural
servo,35.38301198540907,,
slice,35.37953795379538,17862.0,
ceils,35.37953795379538,,Plural
cites,35.37606392218169,,Plural
weans,35.365641827340625,,Plural
wanes,35.365641827340625,,Plural
plies,35.34827166927219,,Plural
piles,35.34827166927219,,Plural
spiel,35.34827166927219,,
spite,35.3447976376585,12519.0,
orcas,35.33090151120375,,Plural
rains,35.32395344797638,,Plural
chase,35.32395344797637,26901.0,
slept,35.32395344797637,,
aches,35.32395344797637,,Plural
pelts,35.32395344797637,,Plural
spelt,35.32395344797637,,
loans,35.32047941636269,,Plural
salon,35.32047941636269,,
asked,35.32047941636268,,
snarl,35.30310925829425,,
rants,35.299635226680564,,Plural
trans,35.299635226680564,,Plural
tarns,35.299635226680564,,Plural
shape,35.29268716345318,60252.0,
phase,35.29268716345318,37013.0,
heaps,35.29268716345318,,Plural
usage,35.289213131839496,11995.0,
agues,35.289213131839496,,Plural
tails,35.240576689247874,,Plural
alone,35.23710265763419,85036.0,
anole,35.23710265763419,,
oaten,35.2336286260205,,
atone,35.2336286260205,,
neato,35.2336286260205,,
skier,35.22668056279312,,
stoke,35.219732499565744,,
tokes,35.219732499565744,,Plural
renal,35.219732499565744,,
learn,35.219732499565744,312649.0,
opera,35.21625846795206,18377.0,Plural
treks,35.202362341497306,,Plural
fades,35.198888309883614,,Plural
nosey,35.18499218342887,,
seamy,35.15372589890568,,
axles,35.13982977245092,,Plural
axels,35.13982977245092,,Plural
texas,35.13635574083724,,Plural
taxes,35.13635574083724,,Plural
lazes,35.12593364599618,,Plural
zeals,35.12593364599618,,Plural
zetas,35.12245961438249,,Plural
serif,35.105089456314055,,
fires,35.105089456314055,,Plural
fries,35.105089456314055,,Plural
floes,35.10161542470036,,Plural
codes,35.094667361472986,,Plural
coeds,35.094667361472986,,Plural
dines,35.08771929824562,,Plural
snide,35.08771929824562,,
style,35.084245266631925,87244.0,
frets,35.08077123501824,,Plural
lends,35.06687510856348,,Plural
posed,35.0634010769498,,
dents,35.0634010769498,,Plural
dopes,35.0634010769498,,Plural
tends,35.0634010769498,,Plural
meson,35.035608824040295,,
omens,35.035608824040295,,Plural
wades,35.00434253951711,,Plural
sawed,35.00434253951711,,
ukase,35.00086850790341,,
adios,34.9800243182213,,Plural
raids,34.96265416015286,,Plural
loads,34.95918012853917,,Plural
limes,34.95918012853917,,Plural
slime,34.95918012853917,,
miles,34.95918012853917,,Plural
smile,34.95918012853917,73137.0,
emits,34.95570609692548,,Plural
times,34.95570609692548,,Plural
